table,original_column,Content,header,column_text,medium_label,long_label,translated_column,column_for_analysis
VBAP,GRANT_NBR,Subsidy,Subsidy,Subsidy,Subsidy,Subsidy,Loading...,none
VBAP,GRKOR,Delivery Group (Item Shipment),Output G,SHIPPING GROUP,Shipping Group,Shipping Group,Loading...,none
VBAP,GRPOS,The line for which this line is a substitute,Alternative,Substitute a Line,Substitute a Line,Alternate Line,Loading...,none
VBAP,GSBER,Business Area,BusA,Business Area,Business Area,Business Area,Loading...,none
VBAP,HANDLE,GUID in 'CHAR' format (uppercase),GUID 16,GUID 16,GUID 16,GUID 16,Loading...,none
VBAP,HANDOVERDATE,Delivery date at the delivery location,Delivery Date,Delivery Date,Delivery Date,Delivery Date,Loading...,none
VBAP,HANDOVERLOC,Place of physical delivery of the goods,Delivery location,Delivery location,Delivery location,Delivery location,Loading...,none
VBAP,HANDOVERTIME,Delivery time at the delivery location,Delivery time,Delivery time,Delivery time,Delivery time,Loading...,none
VBAP,IFRS15_RELEVANCE,Details are IFRS 15 related,IFRS 15,IFRS 15,IFRS 15 related,IFRS 15 related,Loading...,none
VBAP,IFRS15_TOTAL_SSP,IFRS 15: Standalone selling price,Standalone selling price,SSP,Standalone selling price,Standalone selling price,Loading...,none
VBAP,IUID_RELEVANT,Item Unique ID Customer Related,IUID Customer related,IUID Customers,IUID Customer related,Item Unique ID Customer Related,Loading...,none
VBAP,J_1BCFOP,,CFOP,CFOP,CFOP,CFOP,Loading...,none
VBAP,J_1BTAXLW1,Tax law: ICMS,TXT,ICMS Text,ICMS Act,ICMS Act,Loading...,none
VBAP,J_1BTAXLW2,Tax Law: IPI,TXT,IPI Text,IPI Act,IPI Act,Loading...,none
VBAP,J_1BTXSDC,,T.C.,Tax Code,Tax Code,Tax Code,Loading...,none
VBAP,J_3GBELNRI,Slip number,Slip number,Slip number,Slip number,Slip number,Loading...,none
VBAP,J_3GDATBI,End date,End date,End date,End date,End date,Loading...,none
VBAP,J_3GDATVO,Start Date,start date,start date,start date,start date,Loading...,none
VBAP,J_3GLVART,Equipment status,A Type,Equipment status,Equipment status,Equipment status,Loading...,none
VBAP,J_3GPOSNRI,Voucher details,Item No.,Item number,Item number,Item number,Loading...,none
VBAP,KALNR,Cost estimate number for cost estimate without quantity structure,Cost Estimate Number,CENo,Cost Estimate Number,Cost Estimate Number,Loading...,none
VBAP,KALSM_K,Costing sheet,CstgSh,Costing sheet,Costing sheet,Costing sheet,Loading...,none
VBAP,KALVAR,Costing variant,Costing variant,Cstg Vrnt,Costing variant,Costing variant,Loading...,none
VBAP,KANNR,Kanban/Sequence Number,Sequence No,SequenceNo,Sequence Number,Sequence Number,Loading...,none
VBAP,KBMENG,Cumulative confirmed quantity of sales unit,Cumulative confirmed quantity (SU),Cumulative confirmed count,Cumulative Confirmed Quantity,Cumulative confirmed quantity (SU),Loading...,none
VBAP,KBVER,Quantity deviation tolerance (%),deviation%,Deviation (%),Deviation (%),Deviation (%),Loading...,none
VBAP,KDGRP_ANA,Customer Group,Get,Customer Group,Customer Group,Customer Group,Loading...,none
VBAP,KDMAT,Item number used by the customer,Customer Item Number,Customer Item,Customer Item,Customer Item,Loading...,none
VBAP,KEVER,Number of days required for shift,Number of days,Number of days,Number of days,Difference in days,Loading...,none
VBAP,KLMENG,Cumulative confirmed quantity of base unit,Cumulative confirmed quantity (BU),Cumulative confirmed count,Cumulative Confirmed Quantity,Cumulative confirmed quantity (BU),Loading...,none
VBAP,KLVAR,Costing variant,Costing variant,Cstg Vrnt,Costing variant,Costing variant,Loading...,none
VBAP,KMEIN,Condition unit,UoM,unit,Unit of measure,Unit of measure,Loading...,none
VBAP,KMPMG,Component quantity,quantity,quantity,quantity,Component quantity,Loading...,none
VBAP,KNTTP,Account assignment category,A,Account Determination Ca,Account assignment Categ.,Account assignment category,Loading...,none
VBAP,KNUMA_AG,Sales Deals,Deal,Deal,Sales Deals,Sales Deals,Loading...,none
VBAP,KNUMA_PI,Sales Promotion,Sales Promotion,Sales Promotion,Sales Promotion,Sales Promotion,Loading...,none
VBAP,KNUMH,Condition record number via batch determination,Condition Master,Condition Master,Condition Master/Lot,Condition Master/Batch,Loading...,none
VBAP,KNUMV_ANA,Document Condition Number,Voucher Conditions,Voucher Conditions,Voucher Conditions,Document Condition Number,Loading...,none
VBAP,KONDM,Item Price Group,MPG,MaPricngGr,Item Price Group,Item Price Group,Loading...,none
VBAP,KOSCH,Product Allocation Decision Procedure,Product Allocation,Product Allocation,Product Allocation,Product Allocation,Loading...,none
VBAP,KOSTL,Cost Center,Cost Center,Cost Center,Cost Center,Cost Center,Loading...,none
VBAP,KOUPD,Condition Update,CdUpd,Condition Update,Condition Update,Condition Update,Loading...,none
VBAP,KOWRR,Statistical amount,statistics,Statistics,Statistics,Statistics,Loading...,none
VBAP,KPEIN,Price condition unit,/,unit,Pricing Unit,Pricing Unit,Loading...,none
VBAP,KTGRM,Account assignment group for the item,AAGM,AccAsmtGrM,Account Determination Group (Account),Account Determination Group (Product),Loading...,none
VBAP,KUNNR_ANA,Order Receiver,Order Receiver,Order Receiver,Order Receiver,Order Receiver,Loading...,none
VBAP,KUNRE_ANA,Billing address,Billing address,Billing address,Billing address,Billing address,Loading...,none
VBAP,KUNRG_ANA,Payer,Payer,Payer,Payer,Payer,Loading...,none
VBAP,KUNWE_ANA,Shipping destination,Shipping destination,Shipping destination,Shipping destination,Shipping destination,Loading...,none
VBAP,KVGR1_ANA,Customer Group 1,Grp1,Customer Group 1,Customer Group 1,Customer Group 1,Loading...,none
VBAP,KVGR2_ANA,Customer Group 2,Grp2,Customer Group 2,Customer Group 2,Customer Group 2,Loading...,none
VBAP,KVGR3_ANA,Customer Group 3,Grp3,Customer Group 3,Customer Group 3,Customer Group 3,Loading...,none
VBAP,KVGR4_ANA,Customer Group 4,Grp4,Customer Group 4,Customer Group 4,Customer Group 4,Loading...,none
VBAP,KVGR5_ANA,Customer Group 5,Grp5,Customer Group 5,Customer Group 5,Customer Group 5,Loading...,none
VBAP,KWMENG,Cumulative Order Quantity (Sales Unit),Order Quantity,Order Quantity,Order Quantity,Order Quantity,Loading...,none
VBAP,KZBWS,Valuation of Special Stocks,,evaluation,evaluation,Valuation of Special Stocks,Loading...,none
VBAP,KZFME,ID: Leading unit of measure at the end of the transaction,L,Preceding UoM,Leading Unit of Measure,Leading Unit of Measure,Loading...,none
VBAP,KZTLF,Partial deliveries at item level,PD,Partial delivery,Partial Delivery/Item,Partial Delivery/Item,Loading...,none
VBAP,KZVBR,Consumption posting indicator,Disappear,consumption,consumption,consumption,Loading...,none
VBAP,KZWI1,Subtotal 1 from pricing procedure for conditions,Subtotal 1,Subtotal 1,Subtotal 1,Subtotal 1,Loading...,none
VBAP,KZWI2,Subtotal 2 from pricing procedure for conditions,Subtotal 2,Subtotal 2,Subtotal 2,Subtotal 2,Loading...,none
VBAP,KZWI3,Subtotal 3 from pricing procedure for conditions,Subtotal 3,Subtotal 3,Subtotal 3,Subtotal 3,Loading...,none
VBAP,KZWI4,Subtotal 4 from pricing procedure for conditions,Subtotal 4,Subtotal 4,Subtotal 4,Subtotal 4,Loading...,none
VBAP,KZWI5,Subtotal 5 from pricing procedure for conditions,Subtotal 5,Subtotal 5,Subtotal 5,Subtotal 5,Loading...,none
VBAP,KZWI6,Subtotal 6 from pricing procedure for conditions,Subtotal 6,Subtotal 6,Subtotal 6,Subtotal 6,Loading...,none
VBAP,LABSG,Expected JIT delivery schedule indicator,Forecast delivery schedule EDI outage/information indicator,FDSEDI Ind,Forecast delivery schedule EDI indicator,Forecast delivery schedule EDI outage/information indicator,Loading...,none
VBAP,LFGSA,Overall Shipping Status (Items),DS,All Shipments,All shipments Sts,Overall Shipping Status,Loading...,none
VBAP,LFMNG,Minimum delivery quantity for delivery note processing,Minimum Delivery Quantity,Delivery quantity,Minimum Delivery Quantity,Minimum Delivery Quantity,Loading...,none
VBAP,LFREL,Line is shipping related,DlI,Line Shipment,Line Shipment Related,Line Shipment Related,Loading...,none
VBAP,LFSTA,Shipping Status (Item),DS,Shipping Status,Shipping Status,Shipping Status,Loading...,none
VBAP,LGORT,Storage location,SLoc,Storage location,Storage location,Storage location,Loading...,none
VBAP,LOGSYS_EXT,Logical System,Logical System.,Logic System,Logical System,Logical System,Loading...,none
VBAP,LPRIO,Shipping Priority,Ranking,Shipping Order,Shipping Priority,Shipping Priority,Loading...,none
VBAP,LSMENG,Cumulative requested delivery quantity (all delivery-related schedule lines),Requested shipping quantity,Requested shipment quantity,Requested shipping quantity,Requested shipping quantity,Loading...,none
VBAP,LSSTA,All Delivery Block Status (Items),DB,All shipments Blk,All shipments Blk Sts,All Shipping Block Status,Loading...,none
VBAP,LSTANR,Free Goods Delivery Management,D,FG Shipping Terms,Free Goods Delivery Management,Free Goods Delivery Management,Loading...,none
VBAP,MAGRV,Item group: Packaging material,GrPMt,Item Group PM,Item Grp Packaging material,Item group packaging material,Loading...,none
VBAP,MANDT,client,Cl.,Client,client,client,Loading...,none
VBAP,MANEK,Manual contract completion,Manual contract completion,completion,Manual Completion,Manual contract completion,Loading...,none
VBAP,MATKL,Item Group,Item Group,Item Group,Item Group,Item Group,Loading...,none
VBAP,MATNR,Item code,Item,Item,Item,Item,Loading...,none
VBAP,MATWA,Entered Items,Input Item,Entered Items,Entered Items,Input Item,Loading...,none
VBAP,MEINS,Base unit of measure,single,unit,Base Unit,Base unit of measure,Loading...,none
VBAP,MFRGR,Item Freight Group,Fare Group,Fare Group,Fare Group,Item Freight Group,Loading...,none
VBAP,MILL_BATCH_SEL_F,Controlling lot selection,Controlling lot selection,BatchSe,Mill BSelInd,Lot Selection,Loading...,none
VBAP,MILL_SE_GPOSN,Global Details,,Global Details,Global Details,Global Details,Loading...,none
VBAP,MPROK,Status Manual Price Change,M.P.R.,Manual Price,Manual Price,Manual Price,Loading...,none
VBAP,MSR_APPROV_BLOCK,Approval Block,Approval,Approval,Approval,Approval,Loading...,none
VBAP,MSR_REFUND_CODE,Return Refund Code,Refund Code,Refund Code,Refund Code,Refund Code,Loading...,none
VBAP,MSR_RET_REASON,Reason for return,Reason for return,Reason for return,Reason for return,Reason for return,Loading...,none
VBAP,MTVFP,Check Group for Availability Check,Av,AvailCheck,Available stock chk,Availability Check,Loading...,none
VBAP,MVGR1,Item Group 1,MG 1,Item Group 1,Item Group 1,Item Group 1,Loading...,none
VBAP,MVGR2,Item Group 2,MG 2,Item Group 2,Item Group 2,Item Group 2,Loading...,none
VBAP,MVGR3,Item Group 3,MG3,Item Group 3,Item Group 3,Item Group 3,Loading...,none
VBAP,MVGR4,Item Group 4,MG4,Item Group 4,Item Group 4,Item Group 4,Loading...,none
VBAP,MVGR5,Item Group 5,MG5,Item Group 5,Item Group 5,Item Group 5,Loading...,none
VBAP,MWSBP,Tax amount in document currency,Tax amount,Tax,Tax amount,Tax amount,Loading...,none
VBAP,NACHL,The customer has not posted the goods receipt,NGR,GR Unposted,No goods receipt posted,Customer Goods Receipt Not Posted,Loading...,none
VBAP,NETPR,Net price,Net price,Net price,Net price,Net price,Loading...,none
VBAP,NETWR,Sales order line item net amount in document currency,Net amount,Net amount,Net amount,Net amount,Loading...,none
VBAP,NRAB_KNUMH,Condition Record Number,Condition Rec No.,Condition Rec No.,Condition Record No.,Condition Record Number,Loading...,none
VBAP,NTGEW,Net weight of the item,net weight,net weight,net weight,net weight,Loading...,none
VBAP,OBJNR,Line-level object number,ObjNo Item,ObjNo Itm,ObjNo Item,Object Number Details,Loading...,none
VBAP,ORIGINAL_PLANT,Original plant for plant replacement,Former plant,Former plant,Former plant,Former plant,Loading...,none
VBAP,PAOBJNR,Profitability Segment Number (CO-PA),Profitability Seg,Prof.Segmt,Profitability Segment,Profitability Segment Number,Loading...,none
VBAP,PARGB,Partner Business Area,TPBA,Business Partner BA,Business Partner BA,Partner Business Area,Loading...,none
VBAP,PAY_METHOD,List of accepted payment methods,payment method,payment method,payment method,payment method,Loading...,none
VBAP,PBS_STATE,Project-Based Service Status,status,status,PBS Status,PBS Status,Loading...,none
VBAP,PCSTA,Product Marketability Status (Details),Product Marketability Stats,ProductMarktS,Product Marketability Status,Product Marketability Status,Loading...,none
VBAP,PCTRF,Profit center for billing,Claimed profit Ct,Claimed profit Ct,Billing Profit Center,Billing Profit Center,Loading...,none
VBAP,PERVE_ANA,Salesperson,Salesperson,Salesperson,Salesperson,Salesperson,Loading...,none
VBAP,PERZM_ANA,Chief administrator,Chief administrator,Chief administrator,Chief administrator,Chief administrator,Loading...,none
VBAP,PLAVO,Planning Delivery Schedule Procedure,Instructions,Instructions,Planned delivery schedule Ins,Planning delivery schedule instructions,Loading...,none
VBAP,PMATN,Pricing Reference Item,Pricing Reference Item,Pr Reference Item,Price Reference Item,Pricing Reference Item,Loading...,none
VBAP,POSAR,Line Type,IT,Line Type,Line Type,Line Type,Loading...,none
VBAP,POSEX,Original purchase order item number,PO Details,PO Line,Purchase order item,Purchase order item,Loading...,none
VBAP,POSNR,Sales document details,detail,detail,Sales document details,Sales document details,Loading...,none
VBAP,POSNV,Start Detail,detail,detail,detail,detail,Loading...,none
VBAP,PO_QUAN,Purchase Order Quantity,Purchase Order Quantity,quantity,Purchase Order Quantity,Purchase Order Quantity,Loading...,none
VBAP,PO_UNIT,Purchase order unit of measure,OUn,Order unit,Order unit,Order unit,Loading...,none
VBAP,PRBME,Base unit of measure for product group,PUM,Unit of measure,Product Group Unit of Measure,Product Group Unit of Measure,Loading...,none
VBAP,PRCTR,Profit Center,Profit Center,Profit Center,Profit Center,Profit Center,Loading...,none
VBAP,PREFE,Preferential tariffs,Pr,Preferential tariffs,Preferential tariffs,Preferential tariffs,Loading...,none
VBAP,PROCESS_CODE,Item Processing Code,Item Processing Code,Processing Code,Processing Code,Item Processing Code,Loading...,none
VBAP,PROD,Product Hierarchy,Product Hierarchy,Product Hierarchy,Product Hierarchy,Product Hierarchy,Loading...,none
VBAP,PRODH_UNIV_BATDET_DET_ORIGIN,Dates relevant for product hierarchy determination,Dates relevant for product hierarchy determination,Related Dates,Dates relevant to the decision,Dates relevant for product hierarchy determination,Loading...,none
VBAP,PRODH_UNIV_BATDET_PARNT_NODID,Node ID,Node ID,Node ID,Node ID,Node ID,Loading...,none
VBAP,PRODH_UNIV_SALES_DET_ORIGIN,Dates relevant for product hierarchy determination,Dates relevant for product hierarchy determination,Related Dates,Dates relevant to the decision,Dates relevant for product hierarchy determination,Loading...,none
VBAP,PRODH_UNIV_SALES_PARNT_NODID,Node ID,Node ID,Node ID,Node ID,Node ID,Loading...,none
VBAP,PROSA,ID of the item conversion,,MatDetermA,Item Setup Activities,Item Conversion Enabled,Loading...,none
